Date,Price,Open Interest,,,,
1/31/12,1199,684586,,,,
2/7/12,1232,710111,,,,
2/14/12,1255,756274,,,,
2/21/12,1271,763912,,,,
2/28/12,1305.25,737025,,,,
3/6/12,1329.75,789533,,,,
3/13/12,1348.75,846793,,,,
3/20/12,1345,904276,,,,
3/27/12,1369.75,939213,,,,
4/3/12,1416.75,1048315,,,,
4/10/12,1426,1095714,,,,
4/17/12,1425.75,1137348,,,,
4/24/12,1461.25,1077314,,,,
5/1/12,1497.75,1112165,,,,
5/8/12,1437.75,1100686,,,,
5/15/12,1413,1104590,,,,
5/22/12,1413.5,1108738,,,,
5/29/12,1386.75,1093933,,,,
6/5/12,1349.5,1082409,,,,
6/12/12,1435,1099528,,,,
6/19/12,1433.75,1116839,,,,
6/26/12,1470.5,1046687,,,,
7/3/12,1572.25,1105822,,,,
7/10/12,1648.75,1177621,,,,
7/17/12,1639,1257622,,,,
7/24/12,1649.25,1259806,,,,
7/31/12,1721,1165730,,,,
8/7/12,1605.25,1140078,,,,
8/14/12,1680,1140549,,,,
8/21/12,1753.5,1231055,,,,
8/28/12,1732.5,1156476,,,,
9/4/12,1771,1197773,,,,
9/11/12,1696.5,1168390,,,,
9/18/12,1640,1157098,,,,
9/25/12,1611.5,1136216,,,,
10/2/12,1530.5,1125249,,,,
10/9/12,1550,1131066,,,,
10/16/12,1493.75,1126262,,,,
10/23/12,1553.25,1103335,,,,
10/30/12,1533.75,841602,,,,
11/6/12,1516.75,837306,,,,
11/13/12,1427,860728,,,,
11/20/12,1412.75,874049,,,,
11/27/12,1449.25,843320,,,,
12/4/12,1455.5,849291,,,,
12/11/12,1472,858490,,,,
12/18/12,1466,875152,,,,
12/24/12,1439.75,772684,,,,
12/31/12,1418.75,756932,,,,
1/8/13,1413.75,760316,,,,
1/15/13,1413.5,761604,,,,
1/22/13,1451.75,787074,,,,
1/29/13,1451.75,807210,,,,
2/5/13,1495.5,890329,,,,
2/12/13,1420.75,882769,,,,
2/19/13,1470.25,906979,,,,
2/26/13,1447.75,797229,,,,
3/5/13,1496.5,813389,,,,
3/12/13,1489.75,827046,,,,
3/19/13,1406.75,807250,,,,
3/26/13,1447.75,795077,,,,
4/2/13,1394,780729,,,,
4/9/13,1395.5,801665,,,,
4/16/13,1411.5,789066,,,,
4/23/13,1419.75,810498,,,,
4/30/13,1467.75,730966,,,,
5/7/13,1463.5,735671,,,,
5/14/13,1524.5,782164,,,,
5/21/13,1478.25,829734,,,,
5/28/13,1509.25,845705,,,,
6/4/13,1528.75,894137,,,,
6/11/13,1540.5,918497,,,,
6/18/13,1510.75,920174,,,,
,,,,,,`