Date,Open Interest
1/31/12,684586
2/7/12,710111
2/14/12,756274
2/21/12,763912
2/28/12,737025
3/6/12,789533
3/13/12,846793
3/20/12,904276
3/27/12,939213
4/3/12,1048315
4/10/12,1095714
4/17/12,1137348
4/24/12,1077314
5/1/12,1112165
5/8/12,1100686
5/15/12,1104590
5/22/12,1108738
5/29/12,1093933
6/5/12,1082409
6/12/12,1099528
6/19/12,1116839
6/26/12,1046687
7/3/12,1105822
7/10/12,1177621
7/17/12,1257622
7/24/12,1259806
7/31/12,1165730
8/7/12,1140078
8/14/12,1140549
8/21/12,1231055
8/28/12,1156476
9/4/12,1197773
9/11/12,1168390
9/18/12,1157098
9/25/12,1136216
10/2/12,1125249
10/9/12,1131066
10/16/12,1126262
10/23/12,1103335
10/30/12,841602
11/6/12,837306
11/13/12,860728
11/20/12,874049
11/27/12,843320
12/4/12,849291
12/11/12,858490
12/18/12,875152
12/24/12,772684
12/31/12,756932
1/8/13,760316
1/15/13,761604
1/22/13,787074
1/29/13,807210
2/5/13,890329
2/12/13,882769
2/19/13,906979
2/26/13,797229
3/5/13,813389
3/12/13,827046
3/19/13,807250
3/26/13,795077
4/2/13,780729
4/9/13,801665
4/16/13,789066
4/23/13,810498
4/30/13,730966
5/7/13,735671
5/14/13,782164
5/21/13,829734
5/28/13,845705
6/4/13,894137
6/11/13,918497
6/18/13,920174
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,